"BUS","MEDIA #","POSITION","ENGLISH TEXT","FOREIGN TEXT"
"B","1","31.2","Having a Coke with You","あなたとコークスを持っている"
"B","1","31.8","is even more fun than going to San Sebastian, Irœn, Hendaye, Biarritz, Bayonne","サンセバスチャン、Irún、Hendaye、ビアリッツ、バヨンヌに行くよりも楽しいです"
"B","1","32.4","or being sick to my stomach on the Travesera de Gracia in Barcelona","バルセロナのTravesera de Graciaで私の胃に病気"
"B","1","33","partly because in your orange shirt you look like a better happier St. Sebastian","あなたのオレンジ色のシャツで、あなたはもっと幸せに見えるセントセバスチアン"
"B","1","33.6","partly because of my love for you, partly because of your love for yoghurt","ヨーグルトのためのあなたの愛のために、部分的にあなたのための私の愛のために"
"B","1","34.2","partly because of the fluorescent orange tulips around the birches","部分的には、バーシの周りの蛍光オレンジのチューリップのために"
"B","1","34.8","partly because of the secrecy our smiles take on before people and statuary","私たちの笑顔が人々や彫像の前に乗ってくる秘密のために"
"B","1","35.4","it is hard to believe when IÕm with you that there can be anything as still","私があなたと一緒にいても何かがあると信じるのは難しいです"
"B","1","36","as solemn as unpleasantly definitive as statuary when right in front of it","正面に立っていると"
"B","1","36.6","in the warm New York 4 oÕclock light we are drifting back and forth","暖かいニューヨークの4時の光の中で我々は前後に漂っている"
"B","1","37.2","between each other like a tree breathing through its spectacles","その眼鏡を通って呼吸する木のようにお互いに"
"B","1","40","",""
"A","4","20.2","and the portrait show seems to have no faces in it at all, just paint","肖像画には全く顔がないようです"
"A","4","20.9","you suddenly wonder why in the world anyone ever did them","私は見る
あなたと私はむしろ世界のすべての肖像画よりもあなたを見るでしょう"
"A","4","21.6"," I look","私は見る"
"A","4","22.3","at you and I would rather look at you than all the portraits in the world","あなたと私はむしろ世界のすべての肖像画よりもあなたを見るでしょう"
"A","4","23","except possibly for the Polish Rider occasionally and anyway itÕs in the Frick","おそらくポーランドライダーの場合を除いて、時にはそれはFrickにある"
"A","4","23.7","which thank heavens you havenÕt gone to yet so we can go together for the first time","あなたがまだ行っていない天に感謝して、私たちは初めて一緒に行くことができます"
"A","4","40","and the fact that you move so beautifully more or less takes care of Futurism","あなたがきわめて美しく動くという事実は未来主義の世話をします"
"A","4","42.5","just as at home I never think of the Nude Descending a Staircase or","自宅と同じように、私はヌード降順階段や"
"A","4","45","at a rehearsal a single drawing of Leonardo or Michelangelo that used to wow me","リハーサルで私を驚かせたレオナルドやミケランジェロの一枚"
"A","4","47.5","and what good does all the research of the Impressionists do them","印象派のすべての研究が彼らに何をもたらすのか"
"A","4","50","when they never got the right person to stand near the tree when the sun sank","太陽が沈んだときに樹の近くに立つ人がいない"
"A","4","52.5","or for that matter Marino Marini when he didnÕt pick the rider as carefully","マリノ・マリーニがライダーを慎重に選んでいないときは"
"A","2","80","as the horse","馬として"
"A","2","90"," it seems they were all cheated of some marvelous experience","彼らはすばらしい経験をすべて騙されたようだ"
"A","2","93","which is not going to go wasted on me which is why IÕm telling you about it","それは私に無駄になるわけではないので、私はあなたにそれについて話しているのです"
"A","2","94.6","Frank O'Hara, 1926 - 1966","フランク・オハラ、1926年 - 1966年"
